source_row	gene_id	gene_symbol	feature_type
13172	AC004160.2	AC004160.2	Gene Expression
22524	AC004217.1	AC004217.1	Gene Expression
30913	AC004221.1	AC004221.1	Gene Expression
28869	AC004223.2	AC004223.2	Gene Expression
28868	AC004223.4	AC004223.4	Gene Expression
29056	AC004231.1	AC004231.1	Gene Expression
29053	AC004231.3	AC004231.3	Gene Expression
26669	AC004232.1	AC004232.1	Gene Expression
26641	AC004233.1	AC004233.1	Gene Expression
26642	AC004233.2	AC004233.2	Gene Expression
26639	AC004233.3	AC004233.3	Gene Expression
21595	AC004241.1	AC004241.1	Gene Expression
21597	AC004241.2	AC004241.2	Gene Expression
21594	AC004241.3	AC004241.3	Gene Expression
21600	AC004241.4	AC004241.4	Gene Expression
28804	AC004253.1	AC004253.1	Gene Expression
28801	AC004253.2	AC004253.2	Gene Expression
31466	AC004257.1	AC004257.1	Gene Expression
22639	AC004263.1	AC004263.1	Gene Expression
22638	AC004263.2	AC004263.2	Gene Expression
34830	AC004264.1	AC004264.1	Gene Expression
26948	AC004381.1	AC004381.1	Gene Expression
28995	AC004408.1	AC004408.1	Gene Expression
13166	AC004415.1	AC004415.1	Gene Expression
28602	AC004448.1	AC004448.1	Gene Expression
28600	AC004448.2	AC004448.2	Gene Expression
28599	AC004448.3	AC004448.3	Gene Expression
28597	AC004448.5	AC004448.5	Gene Expression
30878	AC004449.1	AC004449.1	Gene Expression
34476	AC004461.2	AC004461.2	Gene Expression
5398	AC004464.1	AC004464.1	Gene Expression
21602	AC004466.1	AC004466.1	Gene Expression
21604	AC004466.2	AC004466.2	Gene Expression
21603	AC004466.3	AC004466.3	Gene Expression
35459	AC004470.1	AC004470.1	Gene Expression
34477	AC004471.1	AC004471.1	Gene Expression
34478	AC004471.2	AC004471.2	Gene Expression
29336	AC004477.1	AC004477.1	Gene Expression
29338	AC004477.2	AC004477.2	Gene Expression
29339	AC004477.3	AC004477.3	Gene Expression
13265	AC004485.1	AC004485.1	Gene Expression
30965	AC004490.1	AC004490.1	Gene Expression
14085	AC004492.1	AC004492.1	Gene Expression
26680	AC004494.1	AC004494.1	Gene Expression
13942	AC004522.3	AC004522.3	Gene Expression
13944	AC004522.4	AC004522.4	Gene Expression
13945	AC004522.5	AC004522.5	Gene Expression
30901	AC004528.1	AC004528.1	Gene Expression
30904	AC004528.2	AC004528.2	Gene Expression
13290	AC004540.1	AC004540.1	Gene Expression
13289	AC004540.2	AC004540.2	Gene Expression
34857	AC004542.1	AC004542.1	Gene Expression
34856	AC004542.2	AC004542.2	Gene Expression
13225	AC004543.1	AC004543.1	Gene Expression
13325	AC004549.1	AC004549.1	Gene Expression
22529	AC004551.1	AC004551.1	Gene Expression
35371	AC004554.2	AC004554.2	Gene Expression
36585	AC004556.3	AC004556.3	Gene Expression
29493	AC004584.1	AC004584.1	Gene Expression
29495	AC004584.3	AC004584.3	Gene Expression
29040	AC004585.1	AC004585.1	Gene Expression
29440	AC004590.1	AC004590.1	Gene Expression
13338	AC004593.1	AC004593.1	Gene Expression
13337	AC004593.2	AC004593.2	Gene Expression
13335	AC004593.3	AC004593.3	Gene Expression
14187	AC004594.1	AC004594.1	Gene Expression
29223	AC004596.1	AC004596.1	Gene Expression
31483	AC004597.1	AC004597.1	Gene Expression
31029	AC004637.1	AC004637.1	Gene Expression
21000	AC004672.1	AC004672.1	Gene Expression
21001	AC004672.2	AC004672.2	Gene Expression
35383	AC004674.1	AC004674.1	Gene Expression
29527	AC004687.1	AC004687.1	Gene Expression
29523	AC004687.3	AC004687.3	Gene Expression
14203	AC004690.2	AC004690.2	Gene Expression
13364	AC004691.1	AC004691.1	Gene Expression
13486	AC004692.2	AC004692.2	Gene Expression
28618	AC004702.1	AC004702.1	Gene Expression
8783	AC004704.1	AC004704.1	Gene Expression
28281	AC004706.1	AC004706.1	Gene Expression
28277	AC004706.3	AC004706.3	Gene Expression
29427	AC004707.1	AC004707.1	Gene Expression
20996	AC004765.1	AC004765.1	Gene Expression
28245	AC004771.1	AC004771.1	Gene Expression
28240	AC004771.2	AC004771.2	Gene Expression
28242	AC004771.3	AC004771.3	Gene Expression
28239	AC004771.4	AC004771.4	Gene Expression
28241	AC004771.5	AC004771.5	Gene Expression
10464	AC004775.1	AC004775.1	Gene Expression
32167	AC004784.1	AC004784.1	Gene Expression
29381	AC004797.1	AC004797.1	Gene Expression
21613	AC004801.3	AC004801.3	Gene Expression
21612	AC004801.4	AC004801.4	Gene Expression
21611	AC004801.5	AC004801.5	Gene Expression
21614	AC004801.6	AC004801.6	Gene Expression
20998	AC004803.1	AC004803.1	Gene Expression
22633	AC004812.2	AC004812.2	Gene Expression
24473	AC004816.1	AC004816.1	Gene Expression
24474	AC004816.2	AC004816.2	Gene Expression
24481	AC004817.1	AC004817.1	Gene Expression
24480	AC004817.2	AC004817.2	Gene Expression
24478	AC004817.3	AC004817.3	Gene Expression
24482	AC004817.4	AC004817.4	Gene Expression
24479	AC004817.5	AC004817.5	Gene Expression
24475	AC004825.2	AC004825.2	Gene Expression
24477	AC004825.3	AC004825.3	Gene Expression
24490	AC004828.1	AC004828.1	Gene Expression
24489	AC004828.2	AC004828.2	Gene Expression
13575	AC004830.2	AC004830.2	Gene Expression
34843	AC004832.1	AC004832.1	Gene Expression
34839	AC004832.4	AC004832.4	Gene Expression
34838	AC004832.5	AC004832.5	Gene Expression
34841	AC004832.6	AC004832.6	Gene Expression
13919	AC004834.1	AC004834.1	Gene Expression
36087	AC004835.1	AC004835.1	Gene Expression
13464	AC004837.2	AC004837.2	Gene Expression
13461	AC004837.3	AC004837.3	Gene Expression
13462	AC004837.4	AC004837.4	Gene Expression
14089	AC004839.2	AC004839.2	Gene Expression
24499	AC004846.1	AC004846.1	Gene Expression
24500	AC004846.2	AC004846.2	Gene Expression
13520	AC004847.1	AC004847.1	Gene Expression
13160	AC004852.2	AC004852.2	Gene Expression
13519	AC004854.2	AC004854.2	Gene Expression
13791	AC004862.1	AC004862.1	Gene Expression
14698	AC004863.1	AC004863.1	Gene Expression
780	AC004865.2	AC004865.2	Gene Expression
13538	AC004869.1	AC004869.1	Gene Expression
13537	AC004869.2	AC004869.2	Gene Expression
13541	AC004870.2	AC004870.2	Gene Expression
13542	AC004870.3	AC004870.3	Gene Expression
13540	AC004870.4	AC004870.4	Gene Expression
14180	AC004875.1	AC004875.1	Gene Expression
14564	AC004877.1	AC004877.1	Gene Expression
13164	AC004879.1	AC004879.1	Gene Expression
34816	AC004882.1	AC004882.1	Gene Expression
34817	AC004882.2	AC004882.2	Gene Expression
34820	AC004882.3	AC004882.3	Gene Expression
14065	AC004884.2	AC004884.2	Gene Expression
14173	AC004888.1	AC004888.1	Gene Expression
14526	AC004889.1	AC004889.1	Gene Expression
13916	AC004893.3	AC004893.3	Gene Expression
13124	AC004895.1	AC004895.1	Gene Expression
24486	AC004900.1	AC004900.1	Gene Expression
13085	AC004906.1	AC004906.1	Gene Expression
14706	AC004908.1	AC004908.1	Gene Expression
14705	AC004908.2	AC004908.2	Gene Expression
14707	AC004908.3	AC004908.3	Gene Expression
14075	AC004917.1	AC004917.1	Gene Expression
14386	AC004918.1	AC004918.1	Gene Expression
14388	AC004918.4	AC004918.4	Gene Expression
