sample_id	completed_utc	elapsed_seconds	peak_rss_bytes	requested_threads	stage	system_cpu_seconds	user_cpu_seconds
GSM8701002	2026-09-06T20:39:53.383447+00:00	20.2628094999	1026850816	4	convert	0.353541	21.171435
GSM8701002	2026-09-06T20:43:50.987715+00:00	3.70301854098	1017856000	4	export	0.301384	3.716457
GSM8701002		2.36451108311	1369276416		independent_verification		
GSM8701002	2026-09-06T20:42:28.471372+00:00	0.532736541936	652722176	4	qc	0.138533	0.751786
GSM8701003	2026-09-06T20:33:54.040068+00:00	0.350107040955	100941824	2	acquire	0.11927	0.630238
GSM8701003	2026-09-06T20:40:07.398717+00:00	13.3442265	784728064	4	convert	0.281724	14.073923
GSM8701003	2026-09-06T20:43:54.165116+00:00	2.60293945903	734609408	4	export	0.25139	2.671267
GSM8701003		1.53568370803	1089339392		independent_verification		
GSM8701003	2026-09-06T20:42:29.381090+00:00	0.389844124904	473694208	4	qc	0.115638	0.648346
GSM8701004	2026-09-06T20:33:54.407891+00:00	0.276486333925	98828288	2	acquire	0.111155	0.553793
GSM8701004	2026-09-06T20:40:18.684843+00:00	10.6186185419	653656064	4	convert	0.263266	11.150685
GSM8701004	2026-09-06T20:43:56.741468+00:00	2.04645216721	614006784	4	export	0.204145	2.191719
GSM8701004		1.21886774991	917307392		independent_verification		
GSM8701004	2026-09-06T20:42:30.177484+00:00	0.312150165904	401932288	4	qc	0.098671	0.574436
GSM8701005	2026-09-06T20:33:45.944609+00:00	0.333995540859	98467840	2	acquire	0.098198	0.6032
GSM8701005	2026-09-06T20:34:44.167892+00:00	14.569574666	795475968	4	convert	0.386046	15.221185
GSM8701005	2026-09-06T20:42:46.144069+00:00	2.717841167	754794496	4	export	0.264085	2.726299
GSM8701005		1.57669954095	1113096192		independent_verification		
GSM8701005	2026-09-06T20:42:12.912157+00:00	0.410955958068	489259008	4	qc	0.11912	0.65398
GSM8701006	2026-09-06T20:33:55.320187+00:00	0.372845291859	98189312	2	acquire	0.101577	0.652347
GSM8701006	2026-09-06T20:40:55.400279+00:00	16.081995833	870088704	4	convert	0.394347	16.769125
GSM8701006	2026-09-06T20:44:04.269073+00:00	2.9071389169	827801600	4	export	0.261068	2.984733
GSM8701006		1.75101374998	1221754880		independent_verification		
GSM8701006	2026-09-06T20:42:32.097386+00:00	0.450103208888	529530880	4	qc	0.111188	0.693301
GSM8701007	2026-09-06T20:33:55.095638+00:00	0.468447000021	98680832	2	acquire	0.118075	0.738978
GSM8701007	2026-09-06T20:40:38.546461+00:00	19.2161168749	1004109824	4	convert	0.392454	19.903678
GSM8701007	2026-09-06T20:44:00.822472+00:00	3.54869295796	968638464	4	export	0.312171	3.556733
GSM8701007		2.16859241715	1451081728		independent_verification		
GSM8701007	2026-09-06T20:42:31.153502+00:00	0.4999584998	622936064	4	qc	0.132213	0.723506
GSM8701008	2026-09-06T20:33:56.218037+00:00	0.376754291821	98975744	2	acquire	0.097628	0.65021
GSM8701008	2026-09-06T20:41:27.375142+00:00	15.7814323329	870055936	4	convert	0.333056	16.573258
GSM8701008	2026-09-06T20:44:11.602001+00:00	3.12904887507	823984128	4	export	0.315644	3.10212
GSM8701008		1.904831958	1251803136		independent_verification		
GSM8701008	2026-09-06T20:42:33.965024+00:00	0.472944624955	541671424	4	qc	0.136521	0.675766
GSM8701009	2026-09-06T20:33:55.995832+00:00	0.370503332932	98189312	2	acquire	0.099625	0.64995
GSM8701009	2026-09-06T20:41:10.939287+00:00	14.8751741252	865386496	4	convert	0.30384	15.681068
GSM8701009	2026-09-06T20:44:07.914560+00:00	3.08283374994	813826048	4	export	0.305275	3.032595
GSM8701009		1.80320495786	1227915264		independent_verification		
GSM8701009	2026-09-06T20:42:32.994315+00:00	0.399637375027	531529728	4	qc	0.124419	0.639907
GSM8701010	2026-09-06T20:33:57.004499+00:00	0.486929541919	97681408	2	acquire	0.10706	0.751288
GSM8701010	2026-09-06T20:41:48.517104+00:00	20.4838065	967032832	4	convert	0.389907	21.399496
GSM8701010	2026-09-06T20:44:15.944441+00:00	3.79246233311	1039482880	4	export	0.349314	3.774879
GSM8701010		2.33016508305	1449115648		independent_verification		
GSM8701010	2026-09-06T20:42:35.025735+00:00	0.570541957859	657899520	4	qc	0.148114	0.760541
GSM8701011	2026-09-06T20:33:57.224001+00:00	0.487062999979	97550336	2	acquire	0.105262	0.74564
GSM8701011	2026-09-06T20:42:09.837239+00:00	20.6619417919	1037271040	4	convert	0.359487	21.600076
GSM8701011	2026-09-06T20:44:20.310117+00:00	3.82329158299	1032470528	4	export	0.3286	3.761212
GSM8701011		2.25114750001	1530216448		independent_verification		
GSM8701011	2026-09-06T20:42:36.088514+00:00	0.555216833949	659161088	4	qc	0.143234	0.770339
